Timestamp,Angkatan ,Program Studi ,"Yang dimaksud Aktif adalah mahasiswa yang saat ini sedang menjabat/menjadi panitia inti/rutin berpartisipasi dalam kegiatan organisasi (BEM, Himpunan, UKM, atau Organisasi Eksternal) minimal selama satu semester terakhir.  


Pertayaan :  Saat ini, apakah Anda aktif dalam kegiatan organisasi kemahasiswaan (di dalam maupun luar kampus)? ",Berapa Indeks Prestasi Kumulatif (IPK) Anda saat ini? (Gunakan nilai IPK hingga semester terakhir yang telah diumumkan.)  ,Seberapa puas Anda dengan Indeks Prestasi Kumulatif (IPK) saat ini?  ,"Menurut pandangan Anda, seberapa besar pengaruh keaktifan berorganisasi terhadap nilai IPK atau IPS mahasiswa?  "
14/12/2025 21:49:55,2023,Teknik Kimia,Aktif,3.00-3.50,Kurang Memuaskan,Berpengaruh Positif
14/12/2025 22:25:24,2024,Teknik Perminyakan,Tidak Aktif,>3.50,Tidak Memuaskan,Berpengaruh Negatif
14/12/2025 22:52:32,2024,Teknik Perminyakan,Aktif,3.00-3.50,Kurang Memuaskan,Berpengaruh Positif
14/12/2025 22:53:25,2024,Teknik Perminyakan,Aktif,3.00-3.50,Kurang Memuaskan,Berpengaruh Positif
15/12/2025 7:51:37,2024,Teknik Sipil,Tidak Aktif,>3.50,Memuaskan,Berpengaruh Negatif
15/12/2025 16:30:55,2023,Komunikasi,Aktif,>3.50,Memuaskan,Berpengaruh Positif
15/12/2025 19:25:51,2023,Teknik Mesin,Tidak Aktif,>3.50,Sangat Memuaskan,Berpengaruh Negatif
16/12/2025 14:49:00,2023,Teknik Perminyakan,Tidak Aktif,3.00-3.50,Memuaskan,Berpengaruh Positif
24/12/2025 15:09:15,2024,Ilmu Komputer,Aktif,>3.50,Memuaskan,Berpengaruh Positif
24/12/2025 15:09:26,2023,Ilmu Komputer,Aktif,2.50-2.99,Cukup Memuaskan,Berpengaruh Positif
24/12/2025 15:12:44,2024,Ilmu Komputer,Aktif,2.50-2.99,Kurang Memuaskan,Tidak ada Pengaruh
24/12/2025 16:14:09,2024,Teknik Logistik,Aktif,3.00-3.50,Cukup Memuaskan,Tidak ada Pengaruh
24/12/2025 16:53:47,2024,Hubungan Internasional,Aktif,>3.50,Kurang Memuaskan,Tidak ada Pengaruh
24/12/2025 21:23:01,2024,Manajemen,Aktif,>3.50,Kurang Memuaskan,Berpengaruh Positif
25/12/2025 19:15:01,2023,Ekonomi,Aktif,>3.50,Sangat Memuaskan,Berpengaruh Positif
25/12/2025 19:15:16,2024,Ekonomi,Aktif,3.00-3.50,Sangat Memuaskan,Sangat Berpengaruh Positfi
25/12/2025 19:15:51,2024,Kimia,Aktif,3.00-3.50,Cukup Memuaskan,Tidak ada Pengaruh
25/12/2025 19:16:19,2024,Hubungan Internasional,Aktif,>3.50,Sangat Memuaskan,Sangat Berpengaruh Positfi
25/12/2025 19:16:39,2024,Kimia,Aktif,>3.50,Memuaskan,Berpengaruh Positif
25/12/2025 19:17:45,2023,Teknik Geologi,Aktif,3.00-3.50,Memuaskan,Berpengaruh Positif
25/12/2025 19:18:11,2023,Teknik Geofisika,Aktif,3.00-3.50,Cukup Memuaskan,Berpengaruh Positif
25/12/2025 19:18:42,2024,Teknik Lingkungan,Aktif,3.00-3.50,Cukup Memuaskan,Berpengaruh Positif
25/12/2025 19:24:40,2023,Teknik Sipil,Aktif,3.00-3.50,Memuaskan,Berpengaruh Positif
25/12/2025 19:24:58,2024,Komunikasi,Aktif,>3.50,Sangat Memuaskan,Berpengaruh Positif
25/12/2025 19:25:23,2024,Teknik Lingkungan,Aktif,3.00-3.50,Cukup Memuaskan,Berpengaruh Positif
